product,narrative
mortgages_and_loans,penfed asking copy driver license finalizing loan american customer
credit_reporting,collection account removed credit report franklin collection service credit score increase removal collection account credit report increased credit score least point
credit_reporting,bureau falsely reporting alleged debt fdcpa section violation usc alleged debt verified yet receive response day another violation fcra
mortgages_and_loans,va mortgage well fargo bank since meet condition va streamline refinance filed refi application provided documentation requested immediately online updated document month dragged foot kept asking documentation rate lock extended expires rate lock extended numerous time law firm closing trying get give date closing provide date given asked month ago representative well fargo explain low interest rate swamped refinances therefore behind month plus received loan estimate told loan passed final underwriting approval known date close point rate lock expires
credit_reporting,bank xxxxi credit card mine
credit_reporting,account ic collection agency circa saw original creditor informed amount paid disputed amount company bureau updated correctly knocked debt inaccuracy since disputed every month bureau collection agency report collection somehow valid active disputed company receipt ignored agency shown inaccuracy date failure communicate inaccuracy reported amount failure acknowledge receipt
debt_collection,received multiple mailing ill regarding debt owed cashnet offered could pay debt immediate payment respond letter started call almost daily answered phone one point abrasive man told debt trying recover told debt mine never loan cashnet usa replied disputing told yes harassment loan never existed name infuriating caused pull credit make sure nothing perfectly clear outstanding loan aside current mortgage
credit_reporting,writing due equifax failed remove information affiliated personal detail challenged past strongly believe violation fcra outright refusing uphold law
mortgages_and_loans,contacted chase bank get assistance deferment lease payment time explained husband unable work due causing loss entire income requested assistance advised two payment would deferred time payment lease current entered deferment however later year began receive collection call chase bank time alleged lease payment behind explained could correct entered deferment due pandemic natural disaster due loss income result told lease behind month deferment applied month quickly retorted impossible even case told prior entering deferment allow ability remedy advised prevent collection activity possible repossession vehicle would need turn vehicle took place yet chase reported car repossession credit report quickly called reminded promised demanded remove notation internal system well credit agency reported corrected part still reporting month day late told lease allegedly behind month never heard late payment time phone writing none contact information changed since opening account unclear never notified alleged payment made according time vast amount conflicting misleading misinformation given representative unclear information correct entire experience incompetence caused great financial harm family well credit score ability extended credit
credit_reporting,showing charge status credit report even settled debt submitted dispute online account updated paid agreed instead updating account received response saying account verified accurate since get result asking called customer service number asked representative could update account paid agreed extremely rude disrespectful told able update account asking gave number call unable get number speak anyone regarding account representative answer question asked charge account preventing purchasing first home believe even satisfying debt still punished credit report please help
debt_collection,received letter company trying collect debt written original creditor letter state different balance amount owed checking credit report account show tell account fallen researching online found company try get agree owe debt accept smaller amount settle
credit_reporting,decided pull credit every single time would apply credit card would get denied best knowledge always paid bill time know fact thing showing report belong account fraudulently made without consent please remove account report soon possible
credit_reporting,shocked reviewed credit report found late payment sure happened believe made payment received statement thought monthly statement get payment applied fast expected checked bank account noticed deducted money checking account month marked late credit report
credit_reporting,called remove inquiry previously deleted placed back account without proper day notice inquiry placed back account experian sent police report ftc report identification well utility bill remove incorrect address experian account yet removed month several time resending documentation receiving verbal confirmation would removed address well info inaccurate need removed il il il il il il
debt_collection,threatened sued put prison thing hand owe anyone anything hassled least year loan taken ex wife
retail_banking,opened bank account metabank online call number back card activate card number card account secure flashpay routing number always say account open ready go seem way issue netspend corporation phone number account number routing number secure flashpay number name account two netspend prepaid visa card connected ending ending yr old born last four social reside indiana reach thanks time hope settle matter
retail_banking,contacted support close account early told action needed day transfer remaining fund account new account different bank several month later receive letter saying owe balance contact support informed due charged monthly service fee month following told account closed balance le amount required avoid fee additionally month overdraft fee charged explaining circumstance customer support refuse waive amount say owe letter received state amount may referred collection reported consumer reporting agency
credit_reporting,ftc violation attached case study pertaining case follows company started started offering credit consumer lawsuit allege violated federal telecommunication law prohibiting telemarketers debt collection agency calling consumer cell phone using automatic dialing system without express consent fair debt collection practice act pub stat codified approved consumer protection amendment establishing legal protection abusive debt collection practice consumer credit protection act title viii act federal fair lending lawsthe equal credit opportunity act fair housing actprohibit discrimination credit transaction including transaction related residential real estate lending act practice specifically prohibited permitted required described regulation violated civil right lied federal trade commission ftc regulates advertising marketing united state authority file lawsuit impose penalty company comply rule generally ftc requires advertisement truthful company listed violated ftc violation
mortgages_and_loans,back decided go back school university received since total nightmare college part college network school charged systemic fraud consumer financial protection bureau department education partial discharge doesnt help anything discharge covered interest added
credit_reporting,filing complaint late payment removed mine pristine clean credit score late payment ever reported mine conversation many time past year never missed payment since everything autopay back called confirmed phone switching bank account move auto pay new account reported day late payment mine calling said fill fix error explaining called told confirmed everything order autopay go good without problem day day late payment frustrated called said look send letter credit department never got response back tried multiple time fix issue dont seem listen filing complaint hoping would able help
credit_reporting,sent information credit bureau investigate item report still sent anything back one letter sent middle pandemic family affected asked respond well day still nothing please help know busy law suppose respond within certain time frame
credit_reporting,writing delete following information file item need deleted listed report victim identity theft make charge ask item deleted correct credit report reported theft identity federal trade commission also enclosed copy federal trade commission identity theft affidavit please delete item soon possible
mortgages_and_loans,applied refinance conventional home mortgage rate locked loan officer responding adequately request whatever concern stated follow home insurance company emailed last month pdf form stating mortgage lender already gone ahead changed mortgage lender company authorized refinance closed legal
credit_reporting,bank america credit card settled paid amount debt still show derogatory need removed report debt settled full debt need removed credit report well
credit_reporting,account unknown collector verify send documentation proof
credit_reporting,mailed settlement letter offering one time payment settle balanced owed remove account credit report however received letter mail stating unable remove derogatory history credit file account information correct request dispute account rather settle exchange removal account report completely unacceptable feel though taken seriously also contact three credit bureau experian since order get item removed account history bureau honored request would like file complaint three credit bureau account history additionally today mark year since closing account closing date past statute limitation account need deleted credit report three credit bureau transunion honored request therefore need file complaint experian honoring thank time look forward hasty reply
mortgages_and_loans,first offered mortgage assistance website year explanation term ramification straight delay payment month suddenly went month month information would happen end delay period nothing almost month sudden getting payment assistance application mail along letter stating payment due notified put derogatory comment credit report first thought missed payment would added end loan thought sweet deal use mortgage payment knock debt make back end loan like many company offered phone conversation someone said isnt work well could led made clear upfront thought ok bank payment earn bit interest put derogatory comment credit report affected disaster implies lot different thing unfair leading statement received letter indicating escrow went payment would go sent payment including extra money even apply correctly say payment gone escrow think actually know
credit_reporting,showing owe credit report country missionary never lived item delivered never ordered open account compromised breach may cause please remove credit report need signature showing account mine find open account name
credit_reporting,attn collection dept submitting complaint reference company knowingly reporting inaccurate data credit profile affected penalty preventing creditworthiness due company demand proof purchasing agreement valid proof alleged debt reporting without valid proper disclosure requirement direct violation consumer right legally requested description detail verification process used verify alleged account federal law requires respond thirty day failure comply federal regulation ftc et esq maintaining careful record communication company thank look forward resolving expeditiously
mortgages_and_loans,need help forbearance process answer question loan serviced quicken recent fhfa announcement needing pay lump sum end forbearance need know refi option ability extend loan term number month forbearance impact credit agree term prior starting forbearance concern cant make credit card payment late forbearance impact ability qualify repayment option need help understand option website limited information option clearly defined tried reach agent multiple time response agent available online call center
mortgages_and_loans,pentagon federal credit union xxxxxxxx va used auto loan number vin last four may concern present file official complaint pentagon federal credit union request immediate removal cpi add loan balance called penfed call center advised fee added auto insurance financed car listed also advised monthly fee increased per month loan balance increased also monthly payment financial abuse predatory lending practice first always carried auto insurance financed vehicle see attachment attachment cited vehicle insured second advised insurance requirement deductible full insurance penfed website cite requirement see http called finalize loan none loan officer advised requirement concern sell purchased please see attachment verify updated auto insurance policy third set automatic payment loan amount since amount submitted payment higher automatically rejected payment request demand reviewed loan returned original agreed please remove return payment fee late fee cpi add fee loan amount need revised original amount sincerely va certified copy mailed consumer assistance center va cfpb submitted online http
